Attribute,Value
Test-Script,examples/toygame/meteor/meteor.rb
Observed attribute,Runtime
Higher value is better,false
Base Interpreter,mri-1.8.7
Threshold for the p-value,0.001
Input size,2098
Warmup runs,1
Trial runs,100
Runtime measured (s),1200
Start-Time of the Experiment,2018-01-07 12:24:16 +0100
End-Time of the Experiment,2018-01-07 14:45:27 +0100
Evaluating interpreter,ruby 2.3.3p222 (2016-11-21 revision 56859) [x86_64-linux]
Operating system,Ubuntu 16.04.3 LTS
Processor,Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
Physical cores,4
Total cores,8
Memory (total),16429376kB
Memory (free),8188916kB
