Attribute,Value
Test-Script,examples/toygame/regexredux/regex-redux.rb
Observed attribute,Runtime
Higher value is better,false
Base Interpreter,mri-1.8.7
Threshold for the p-value,0.001
Input size,1000000
Warmup runs,1
Trial runs,1500
Runtime measured (s),1200
Start-Time of the Experiment,2018-01-22 16:58:26 +0100
End-Time of the Experiment,2018-01-22 19:19:19 +0100
Evaluating interpreter,ruby 2.3.3p222 (2016-11-21 revision 56859) [x86_64-linux]
Operating system,Ubuntu 16.04.3 LTS
Processor,Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
Physical cores,4
Total cores,8
Memory (total),16429296kB
Memory (free),10660912kB
